iter	Passed	Remaining
0	5	1022
1	9	979
2	14	971
3	19	960
4	24	953
5	29	944
6	34	940
7	39	938
8	43	931
9	49	931
10	54	929
11	58	922
12	63	919
13	68	915
14	73	908
15	78	902
16	83	896
17	87	889
18	92	883
19	97	877
20	102	872
21	107	869
22	113	872
23	120	882
24	126	888
25	131	881
26	136	874
27	142	873
28	146	865
29	152	861
30	156	853
31	161	846
32	168	853
33	175	855
34	180	852
35	186	850
36	191	845
37	196	839
38	201	833
39	206	827
40	212	822
41	216	815
42	221	809
43	226	803
44	231	797
45	236	792
46	241	787
47	247	782
48	252	778
49	257	772
50	263	769
51	269	766
52	277	768
53	282	763
54	287	758
55	292	752
56	298	748
57	303	743
58	308	738
59	313	731
60	319	728
61	325	723
62	329	717
63	334	711
64	340	707
65	345	701
66	352	698
67	359	697
68	364	692
69	368	683
70	372	677
71	378	672
72	383	666
73	388	661
74	393	656
75	400	652
76	405	646
77	409	641
78	414	635
79	419	629
80	424	623
81	429	617
82	434	611
83	439	606
84	444	601
85	450	597
86	455	592
87	461	587
88	467	582
89	472	578
90	478	573
91	484	568
92	490	564
93	496	560
94	503	556
95	533	577
96	539	573
97	547	569
98	552	564
99	558	558
100	566	555
101	572	549
102	578	544
103	584	539
104	590	534
105	596	529
106	602	523
107	606	517
108	612	510
109	615	503
110	621	498
111	626	492
112	631	485
113	636	480
114	641	474
115	646	467
116	651	462
117	656	456
118	662	450
119	668	445
120	672	439
121	678	433
122	684	428
123	689	422
124	694	416
125	700	411
126	706	405
127	722	406
128	728	400
129	733	394
130	738	389
131	744	383
132	746	376
133	751	370
134	758	365
135	764	359
136	769	353
137	774	347
138	779	342
139	785	336
140	790	330
141	795	324
142	800	318
143	805	313
144	809	307
145	816	302
146	822	296
147	828	290
148	833	285
149	839	279
150	846	274
151	853	269
152	858	263
153	863	257
154	868	252
155	873	246
156	878	240
157	884	235
158	891	229
159	898	224
160	903	218
161	909	213
162	916	207
163	922	202
164	929	197
165	933	191
166	939	185
167	944	179
168	950	174
169	955	168
170	960	162
171	965	157
172	970	151
173	979	146
174	984	140
175	990	135
176	994	129
177	1000	123
178	1005	117
179	1012	112
180	1019	107
181	1025	101
182	1030	95
183	1036	90
184	1042	84
185	1046	78
186	1051	73
187	1056	67
188	1061	61
189	1066	56
190	1071	50
191	1076	44
192	1081	39
193	1086	33
194	1091	27
195	1097	22
196	1105	16
197	1111	11
198	1117	5
199	1122	0
